"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36005023100","Census Tract 231, Bronx County, New York","38","33","11","16","0","13","0","13","0","13","0","13","0","13","27","31",
"1400000US36005023200","Census Tract 232, Bronx County, New York","73","38","18","20","0","13","18","20","0","13","0","13","0","13","37","30",
"1400000US36005023301","Census Tract 233.01, Bronx County, New York","42","56","31","52","0","13","0","13","0","13","0","13","0","13","11","19",
"1400000US36005023302","Census Tract 233.02, Bronx County, New York","35","39","35","39","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005023501","Census Tract 235.01, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005023502","Census Tract 235.02, Bronx County, New York","31","35","16","27","0","13","0","13","0","13","0","13","0","13","15","23",
"1400000US36005023600","Census Tract 236, Bronx County, New York","18","23","3","7","15","21","0","13","0","13","0","13","0","13","0","13",
"1400000US36005023702","Census Tract 237.02, Bronx County, New York","10","17","10","17","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005023703","Census Tract 237.03, Bronx County, New York","27","42","27","42","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005023704","Census Tract 237.04, Bronx County, New York","61","52","40","43","0","13","0","13","0","13","0","13","0","13","21","34",
"1400000US36005023800","Census Tract 238, Bronx County, New York","100","53","22","24","0","13","0","13","0","13","0","13","0","13","78","48",
"1400000US36005023900","Census Tract 239, Bronx County, New York","123","113","36","59","0","18","0","18","0","18","0","18","0","18","87","92",
"1400000US36005024000","Census Tract 240, Bronx County, New York","113","61","18","29","0","13","0","13","0","13","0","13","0","13","95","55",
"1400000US36005024100","Census Tract 241, Bronx County, New York","26","39","0","18","0","18","0","18","0","18","0","18","0","18","26","39",
"1400000US36005024300","Census Tract 243, Bronx County, New York","28","32","28","32","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005024400","Census Tract 244, Bronx County, New York","23","24","0","13","0","13","4","7","0","13","0","13","0","13","19","23",
"1400000US36005024501","Census Tract 245.01, Bronx County, New York","42","39","16","24","0","13","0","13","0","13","0","13","0","13","26","30",
"1400000US36005024502","Census Tract 245.02, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005024600","Census Tract 246, Bronx County, New York","64","55","21","36","0","13","12","19","0","13","18","22","0","13","13","20",
"1400000US36005024700","Census Tract 247, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005024800","Census Tract 248, Bronx County, New York","31","40","0","13","0","13","0","13","0","13","0","13","0","13","31","40",
"1400000US36005024900","Census Tract 249, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005025000","Census Tract 250, Bronx County, New York","127","88","80","73","0","13","0","13","0","13","28","45","0","13","19","31",
"1400000US36005025100","Census Tract 251, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005025200","Census Tract 252, Bronx County, New York","89","50","0","13","23","27","0","13","24","27","4","6","0","13","38","32",
"1400000US36005025300","Census Tract 253, Bronx County, New York","60","46","0","18","0","18","0","18","0","18","0","18","0","18","60","46",
"1400000US36005025400","Census Tract 254, Bronx County, New York","43","30","13","20","0","13","0","13","0","13","0","13","0","13","30","26",
"1400000US36005025500","Census Tract 255, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005025600","Census Tract 256, Bronx County, New York","76","51","31","26","0","13","0","13","0","13","10","16","0","13","35","38",
"1400000US36005025700","Census Tract 257, Bronx County, New York","23","18","23","18","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005026100","Census Tract 261, Bronx County, New York","124","87","0","13","0","13","13","21","0","13","19","31","0","13","92","79",
"1400000US36005026300","Census Tract 263, Bronx County, New York","142","86","80","66","62","64","0","18","0","18","0","18","0","18","0","18",
"1400000US36005026400","Census Tract 264, Bronx County, New York","162","122","0","18","27","44","0","18","0","18","38","62","0","18","97","97",
"1400000US36005026500","Census Tract 265, Bronx County, New York","57","65","57","65","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005026601","Census Tract 266.01, Bronx County, New York","39","43","19","29","0","13","0","13","0","13","0","13","0","13","20","33",
"1400000US36005026602","Census Tract 266.02, Bronx County, New York","227","122","138","102","0","18","0","18","34","52","55","56","0","18","0","18",
"1400000US36005026701","Census Tract 267.01, Bronx County, New York","151","94","37","43","0","13","0","13","0","13","0","13","0","13","114","85",
"1400000US36005026702","Census Tract 267.02, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
